request_id,mol_id,canonical_smiles,isomeric_smiles,program,method_family,theory_level,basis_set,solvation_model,status,recommended_next_action,notes
qreq_879b224864f92bec,mol_dadafcfjdztokm-uhfffaoysa-n,FC(=C(Cl)C(F)(F)F)C(F)(F)C(F)(F)F,FC(=C(Cl)C(F)(F)F)C(F)(F)C(F)(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|ClF; priority_score=0.762
qreq_8e091a7b83eda4b1,mol_rahzwnyvwxnfoc-uhfffaoysa-n,O=S=O,O=S=O,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|no_halogen; priority_score=0.574333
qreq_30b1689795b50457,mol_dpdkqdlrcniclt-uhfffaoysa-n,FC(F)=C(Cl)C(F)(F)C(F)(F)C(F)(F)F,FC(F)=C(Cl)C(F)(F)C(F)(F)C(F)(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|ClF; priority_score=0.762
qreq_2ca08d6054501c45,mol_pbwhqpohaddefu-uhfffaoysa-n,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|F; priority_score=0.762
qreq_796be1daedd7c5d1,mol_gvcuxnokyqgihh-uhfffaoysa-n,N#CSC(Cl)=C(C(Cl)=C(Cl)Cl)[N+](=O)[O-],N#CSC(Cl)=C(C(Cl)=C(Cl)Cl)[N+](=O)[O-],psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|Cl; priority_score=0.754
qreq_4da8789d091d6a2b,mol_nvowobyyznhqpo-uhfffaoysa-n,FC(F)=CC(F)(F)C(F)(F)C(F)(F)Br,FC(F)=CC(F)(F)C(F)(F)C(F)(F)Br,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|BrF; priority_score=0.755
qreq_a6a154429acbf7c0,mol_qtfjyuofnhalqu-uhfffaoysa-n,O=CC(I)=CC(F)(F)C(F)(F)F,O=CC(I)=CC(F)(F)C(F)(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|FI; priority_score=0.737
qreq_449f81ec5ae5528f,mol_judodnbriomlsf-uhfffaoysa-n,FC(=C(F)C(F)(F)Br)C(F)(F)Cl,FC(=C(F)C(F)(F)Br)C(F)(F)Cl,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|ClBrF; priority_score=0.739333
qreq_a0d596d71324bc8c,mol_xprctoleubqrkb-uhfffaoysa-n,O=C(O)C(=CC(Cl)(Cl)Cl)CBr,O=C(O)C(=CC(Cl)(Cl)Cl)CBr,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|ClBr; priority_score=0.730333
qreq_8301762bb1b3f869,mol_mmijdarouzcrfp-uhfffaoysa-n,N#CC(C#N)=C(N)C(Br)C#N,N#CC(C#N)=C(N)C(Br)C#N,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|Br; priority_score=0.730333
qreq_9298b7005e6b9347,mol_hcbojxuoqhhxnk-uhfffaoysa-n,O=C(O)C=C(C(=O)O)I(=O)=O,O=C(O)C=C(C(=O)O)I(=O)=O,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|I; priority_score=0.726
qreq_0fafe75ab867a7ce,mol_gqplmrytrlflpf-uhfffaoysa-n,[N-]=[N+]=O,[N-]=[N+]=O,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|no_halogen; priority_score=0.531251
qreq_2db184a8ac09b933,mol_fjyzhzfnobisbm-uhfffaoysa-n,FC(F)(F)C(=C(Cl)Cl)C(F)(F)C(F)(F)F,FC(F)(F)C(=C(Cl)Cl)C(F)(F)C(F)(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|ClF; priority_score=0.762
qreq_a357facef57917d8,mol_ptzotzxeunfykg-uhfffaoysa-n,FC(F)=C(C(F)(F)F)C(F)(F)C(F)(F)F,FC(F)=C(C(F)(F)F)C(F)(F)C(F)(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|F; priority_score=0.762
qreq_2413f797eba1f07d,mol_iyhwwirfhibtpc-uhfffaoysa-n,N#CSC(C(Cl)=C(Cl)Cl)=C(Cl)[N+](=O)[O-],N#CSC(C(Cl)=C(Cl)Cl)=C(Cl)[N+](=O)[O-],psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|Cl; priority_score=0.754
qreq_dcb4be0f18972321,mol_qasfocqslhvfph-uhfffaoysa-n,FC(=C(Br)C(F)F)C(F)(F)C(F)(F)F,FC(=C(Br)C(F)F)C(F)(F)C(F)(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|BrF; priority_score=0.755
qreq_f434daec4a68a3e7,mol_ofsmrsplkzzmqc-plngdyqasa-n,N#CC(F)=C(F)C(F)(I)C#CF,N#C/C(F)=C(/F)C(F)(I)C#CF,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|FI; priority_score=0.736333
qreq_ce3324e6a5607bc3,mol_fmzcebojchmlcw-uhfffaoysa-n,O=C(OC(Cl)=C(F)F)C(F)(F)Br,O=C(OC(Cl)=C(F)F)C(F)(F)Br,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|ClBrF; priority_score=0.733667
qreq_3ec1c86e34640739,mol_yndwxvsrmraklq-uhfffaoysa-n,CC(=O)C(Br)=CC(Cl)=C(Cl)Cl,CC(=O)C(Br)=CC(Cl)=C(Cl)Cl,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|ClBr; priority_score=0.730333
qreq_97ea7365dd17660b,mol_pkeycysycixnss-uhfffaoysa-n,N#CCCSC=C(Br)C#N,N#CCCSC=C(Br)C#N,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|Br; priority_score=0.729667
qreq_0f4ef08e3ffa109c,mol_ofbqjsofqdebgm-uhfffaoysa-n,CCCCC,CCCCC,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|no_halogen; priority_score=0.493333
qreq_16c16f6904d527f6,mol_igeqaibreracmg-uhfffaoysa-n,FC(F)(F)C(Cl)=C(C(F)(F)F)C(F)(F)F,FC(F)(F)C(Cl)=C(C(F)(F)F)C(F)(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|ClF; priority_score=0.762
qreq_7caae39599de3c1b,mol_vvmqlakdfblchb-uhfffaoysa-n,FC(=C(F)C(F)(F)C(F)(F)F)C(F)(F)F,FC(=C(F)C(F)(F)C(F)(F)F)C(F)(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|F; priority_score=0.762
qreq_57c6a8062e9d7ed7,mol_ampppfbscigtne-uhfffaoysa-n,O=[N+]([O-])C(Cl)=C(C(Cl)=C(Cl)Cl)[N+](=O)[O-],O=[N+]([O-])C(Cl)=C(C(Cl)=C(Cl)Cl)[N+](=O)[O-],psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|Cl; priority_score=0.751333
qreq_83c65fe223284f67,mol_swblzsbwuawopt-uhfffaoysa-n,FC(F)(F)C=C(Br)C(F)(F)C(F)(F)F,FC(F)(F)C=C(Br)C(F)(F)C(F)(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|BrF; priority_score=0.755
qreq_ba39290087b06031,mol_ofsmrsplkzzmqc-snawjcmrsa-n,N#CC(F)=C(F)C(F)(I)C#CF,N#C/C(F)=C(\F)C(F)(I)C#CF,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|FI; priority_score=0.736333
qreq_b0d562418daba92e,mol_dreipqficfnvga-owojbtedsa-n,FC(=C(F)C(F)(Cl)Br)C(F)(F)F,F/C(=C(/F)C(F)(Cl)Br)C(F)(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|ClBrF; priority_score=0.732667
qreq_02db4e9bb49753c5,mol_yogqmhdtnlwyhs-uhfffaoysa-n,O=C(O)C(=CBr)CC(Cl)(Cl)Cl,O=C(O)C(=CBr)CC(Cl)(Cl)Cl,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|ClBr; priority_score=0.730333
qreq_bf815a638d872826,mol_rsojdpqhffmarb-uhfffaoysa-n,O=C(O)CC(C(=O)O)=C(Br)Br,O=C(O)CC(C(=O)O)=C(Br)Br,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|Br; priority_score=0.729667
qreq_e2f83530ef8ad823,mol_qwtdnucvqczilf-uhfffaoysa-n,CCC(C)C,CCC(C)C,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|no_halogen; priority_score=0.493333
qreq_db647135dd1645f9,mol_jizmlwvhihlksr-uhfffaoysa-n,FC(=C(Cl)C(F)(Cl)Cl)C(F)(F)C(F)(F)F,FC(=C(Cl)C(F)(Cl)Cl)C(F)(F)C(F)(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|ClF; priority_score=0.762
qreq_c80b00a7d44572d6,mol_yhaaemitohiabs-uhfffaoysa-n,FC(=C(C(F)(F)F)C(F)(F)F)C(F)(F)F,FC(=C(C(F)(F)F)C(F)(F)F)C(F)(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|F; priority_score=0.762
qreq_70a0bb0098baca17,mol_kgkodzfsnznpju-uhfffaoysa-n,O=[N+]([O-])C(Cl)=C(Cl)C(=C(Cl)Cl)[N+](=O)[O-],O=[N+]([O-])C(Cl)=C(Cl)C(=C(Cl)Cl)[N+](=O)[O-],psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|Cl; priority_score=0.751333
qreq_12599e9c9d42d8bd,mol_zgmdgjgyidxfpi-uhfffaoysa-n,FC(F)(Br)C=C(C(F)(F)F)C(F)(F)F,FC(F)(Br)C=C(C(F)(F)F)C(F)(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|BrF; priority_score=0.755
qreq_1718238d0f731849,mol_ofsmrsplkzzmqc-uhfffaoysa-n,N#CC(F)=C(F)C(F)(I)C#CF,N#CC(F)=C(F)C(F)(I)C#CF,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|FI; priority_score=0.736333
qreq_29269e091c1c1172,mol_dreipqficfnvga-uhfffaoysa-n,FC(=C(F)C(F)(Cl)Br)C(F)(F)F,FC(=C(F)C(F)(Cl)Br)C(F)(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|ClBrF; priority_score=0.732667
qreq_f92b7f26a74c5ccb,mol_apxcrdlkxgapau-aatrikpksa-n,N#CCCSC(Cl)=C(Br)C#N,N#CCCS/C(Cl)=C(/Br)C#N,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|ClBr; priority_score=0.73
qreq_e956d2d25a7ca8d2,mol_aqmytrwhfluwsf-uhfffaoysa-n,[C-]#[N+]C(C#N)=C(CBr)CBr,[C-]#[N+]C(C#N)=C(CBr)CBr,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|Br; priority_score=0.729333
qreq_0def45fdaf42ea68,mol_rgsfgyaautvsqa-uhfffaoysa-n,C1CCCC1,C1CCCC1,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|no_halogen; priority_score=0.4875
qreq_59394b98b823991e,mol_kgrarcnbjfqndy-uhfffaoysa-n,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(Cl)Cl,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(Cl)Cl,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|ClF; priority_score=0.762
qreq_667cc64ac27c6cc1,mol_riaqydgzvcoepb-uhfffaoysa-n,O=C=C(C(=C(F)F)C(F)(F)F)C(F)(F)F,O=C=C(C(=C(F)F)C(F)(F)F)C(F)(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|F; priority_score=0.761333
qreq_614e4693806efc12,mol_fidcylxdvmkttg-uhfffaoysa-n,N#CC(Cl)=C(Cl)SCC(Cl)(Cl)C#N,N#CC(Cl)=C(Cl)SCC(Cl)(Cl)C#N,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|Cl; priority_score=0.750667
qreq_a8372adbd5fa55df,mol_xgkngzmuvbayoe-uhfffaoysa-n,FC(F)=C(Br)N(C(F)(F)F)C(F)(F)F,FC(F)=C(Br)N(C(F)(F)F)C(F)(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|BrF; priority_score=0.753667
qreq_d864cbc06fb29354,mol_ueeghkhoknmxks-uhfffaoysa-n,C=C(I)CC(F)(F)C(F)(F)F,C=C(I)CC(F)(F)C(F)(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|FI; priority_score=0.734
qreq_7370071da76bfad6,mol_hqdibyvknaqtgx-owojbtedsa-n,FC(F)(F)C(Cl)=C(Br)C(F)(F)F,FC(F)(F)/C(Cl)=C(\Br)C(F)(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|ClBrF; priority_score=0.732667
qreq_aead46bb598a31a2,mol_jocdszfppjomhm-uhfffaoysa-n,O=C(O)C(=C(Cl)Cl)C(Br)C(=O)O,O=C(O)C(=C(Cl)Cl)C(Br)C(=O)O,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|ClBr; priority_score=0.73
qreq_4b30c4bf889d7b5a,mol_qrxzohfurbmado-uhfffaoysa-n,N#CC(Br)(C#N)C=CCBr,N#CC(Br)(C#N)C=CCBr,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|Br; priority_score=0.729333
qreq_0755828a1e45cbc6,mol_ijdnqmdrqiteod-uhfffaoysa-n,CCCC,CCCC,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|no_halogen; priority_score=0.484667
qreq_9c297052f82520d4,mol_myynqantdzxcad-uhfffaoysa-n,FC(F)(F)C(F)(F)C(F)(F)C(Cl)=C(Cl)Cl,FC(F)(F)C(F)(F)C(F)(F)C(Cl)=C(Cl)Cl,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|ClF; priority_score=0.762
qreq_12f3f3bd52fac830,mol_kufyzpqgjtvlju-uhfffaoysa-n,FOC(OF)=C(OF)C(OF)(OF)OF,FOC(OF)=C(OF)C(OF)(OF)OF,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|F; priority_score=0.760667
qreq_c9fa2c96d9945e63,mol_kopmuszlextodj-ggwosogesa-n,N#CC(Cl)=C(Cl)[S+]([O-])C(Cl)=C(Cl)C#N,N#C/C(Cl)=C(/Cl)[S+]([O-])/C(Cl)=C(/Cl)C#N,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|Cl; priority_score=0.75
qreq_122129e7f4a2448f,mol_clqwruzxwpawel-uhfffaoysa-n,O=C(C(F)=C(F)F)C(F)(F)C(F)(F)Br,O=C(C(F)=C(F)F)C(F)(F)C(F)(F)Br,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|BrF; priority_score=0.751
qreq_130e2bd1a7ce7cad,mol_ushrlirlsdbsiv-uhfffaoysa-n,FC(F)=C(F)C(F)(F)CCI,FC(F)=C(F)C(F)(F)CCI,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|FI; priority_score=0.734
qreq_9e11950c88d6fcac,mol_hqdibyvknaqtgx-uphrsurjsa-n,FC(F)(F)C(Cl)=C(Br)C(F)(F)F,FC(F)(F)/C(Cl)=C(/Br)C(F)(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|ClBrF; priority_score=0.732667
qreq_740d7b32c6f18aee,mol_dqigxmgnovoyfo-uhfffaoysa-n,N#CC(Br)=CC(C#N)=CCl,N#CC(Br)=CC(C#N)=CCl,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|ClBr; priority_score=0.728
qreq_e4190f6c8f023462,mol_tugsbxavzrekra-uhfffaoysa-n,C=C(CC#N)C(Br)(Br)C#N,C=C(CC#N)C(Br)(Br)C#N,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|Br; priority_score=0.729333
