substance_id,refrigerant_number,mol_id,target_output,blocker_type,blocker_reason,recommended_next_action,artifact_uri,notes
SUB119,R-1234ze(Z),mol_cdooaushhfgwsa-uphrsurjsa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB095,R-123a,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB039,R-124,mol_bougcjdaqlkbqh-uhfffaoysa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB039,R-124,mol_bougcjdaqlkbqh-uhfffaoysa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB135,R-1243zf,mol_fdmfuzhcirhgrg-uhfffaoysa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB135,R-1243zf,mol_fdmfuzhcirhgrg-uhfffaoysa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB079,R-124a,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB002,R-125,mol_gtlacdsxyulkmz-uhfffaoysa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB002,R-125,mol_gtlacdsxyulkmz-uhfffaoysa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB029,R-1270,mol_qqonpfptgqhpma-uhfffaoysa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB029,R-1270,mol_qqonpfptgqhpma-uhfffaoysa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB043,R-12B1,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB084,R-12B2,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB033,R-13,mol_afypfacvudmoha-uhfffaoysa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB033,R-13,mol_afypfacvudmoha-uhfffaoysa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB113,R-130,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB126,R-131,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB087,R-132,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB086,R-132b,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB081,R-133,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB013,R-1336mzz(E),mol_nlolsxyrjfeota-owojbtedsa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB013,R-1336mzz(E),mol_nlolsxyrjfeota-owojbtedsa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB014,R-1336mzz(Z),,phase2_quantum_compute,unmapped_governance_substance,no_molecule_core_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB082,R-133a,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB080,R-133b,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB116,R-134,mol_wxgnwuvnymjeni-uhfffaoysa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB116,R-134,mol_wxgnwuvnymjeni-uhfffaoysa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB003,R-134a,mol_lvguzgtvoiakkc-uhfffaoysa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB003,R-134a,mol_lvguzgtvoiakkc-uhfffaoysa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB044,R-13B1,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB042,R-13I1,mol_vpayjeuhkvessd-uhfffaoysa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB042,R-13I1,mol_vpayjeuhkvessd-uhfffaoysa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB045,R-14,mol_txeyqdlbpfqvaa-uhfffaoysa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB045,R-14,mol_txeyqdlbpfqvaa-uhfffaoysa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB124,R-140,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB123,R-140a,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB091,R-141,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB040,R-141b,mol_frchksnazzfgca-uhfffaoysa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB040,R-141b,mol_frchksnazzfgca-uhfffaoysa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB074,R-142,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB041,R-142b,mol_bhnzezwiumjcgf-uhfffaoysa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB041,R-142b,mol_bhnzezwiumjcgf-uhfffaoysa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB129,R-143,mol_wgzyqosevsxdni-uhfffaoysa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB129,R-143,mol_wgzyqosevsxdni-uhfffaoysa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB017,R-143a,mol_ujpmyeoubpiphq-uhfffaoysa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB017,R-143a,mol_ujpmyeoubpiphq-uhfffaoysa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB090,R-150,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB089,R-150a,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB078,R-151,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB077,R-151a,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB096,R-152,mol_ahfmsndoycfeph-uhfffaoysa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB096,R-152,mol_ahfmsndoycfeph-uhfffaoysa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB004,R-152a,mol_npnpztnlovbdoc-uhfffaoysa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB004,R-152a,mol_npnpztnlovbdoc-uhfffaoysa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB075,R-160,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB099,R-161,mol_uhcbbwuqdavsms-uhfffaoysa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB099,R-161,mol_uhcbbwuqdavsms-uhfffaoysa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB026,R-170,mol_otmsdbzupauedd-uhfffaoysa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB026,R-170,mol_otmsdbzupauedd-uhfffaoysa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB127,R-20,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
SUB046,R-21,mol_umnkxpulidjlsu-uhfffaoysa-n,nbo_resp_charges,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB046,R-21,mol_umnkxpulidjlsu-uhfffaoysa-n,standard_enthalpy_of_formation,postprocessor_unavailable,NBO/RESP/formation-enthalpy postprocessor or reference scheme is not configured; do not fabricate derived charges or formation enthalpy,implement_and_verify_postprocessor_before_population,,phase-2 explicit blocker; no synthetic value emitted
SUB093,R-216ca,,phase2_quantum_compute,unmapped_governance_substance,no_seed_catalog_match,curate_governance_mapping,,phase-2 explicit blocker; no synthetic value emitted
