request_id,mol_id,canonical_smiles,isomeric_smiles,program,method_family,theory_level,basis_set,solvation_model,status,recommended_next_action,notes
qreq_f24c52ee275ce8e2,mol_ohmhbgpwchtmqe-uhfffaoysa-n,FC(F)(F)C(Cl)Cl,FC(F)(F)C(Cl)Cl,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB038; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_9c9369028e430aa1,mol_ldtmpqqawumpks-owojbtedsa-n,FC(F)(F)C=CCl,FC(F)(F)/C=C/Cl,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB011; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_582a974263866bbb,mol_fxrlmcrcydhqfw-uhfffaoysa-n,C=C(F)C(F)(F)F,C=C(F)C(F)(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB009; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_c8b970502c0bce4b,mol_cdooaushhfgwsa-owojbtedsa-n,FC=CC(F)(F)F,F/C=C/C(F)(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB010; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_cf441aa6fdeb374b,mol_cdooaushhfgwsa-uphrsurjsa-n,FC=CC(F)(F)F,F/C=C\C(F)(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB119; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_16d842d117c98231,mol_bougcjdaqlkbqh-uhfffaoysa-n,FC(Cl)C(F)(F)F,FC(Cl)C(F)(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB039; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_75c3c30e9533cc9d,mol_fdmfuzhcirhgrg-uhfffaoysa-n,C=CC(F)(F)F,C=CC(F)(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB135; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_4813ae80d476e108,mol_gtlacdsxyulkmz-uhfffaoysa-n,FC(F)C(F)(F)F,FC(F)C(F)(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB002; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_405fdd184fab7b4e,mol_afypfacvudmoha-uhfffaoysa-n,FC(F)(F)Cl,FC(F)(F)Cl,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB033; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_1becfb2c0337ad53,mol_nlolsxyrjfeota-owojbtedsa-n,FC(F)(F)C=CC(F)(F)F,FC(F)(F)/C=C/C(F)(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB013; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_f1686c500714da51,mol_wxgnwuvnymjeni-uhfffaoysa-n,FC(F)C(F)F,FC(F)C(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB116; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_f9d96d00154e8754,mol_lvguzgtvoiakkc-uhfffaoysa-n,FCC(F)(F)F,FCC(F)(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB003; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_231a28f685fa7f0a,mol_vpayjeuhkvessd-uhfffaoysa-n,FC(F)(F)I,FC(F)(F)I,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB042; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_1f88b8874a541dc6,mol_txeyqdlbpfqvaa-uhfffaoysa-n,FC(F)(F)F,FC(F)(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB045; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_318df98d73bae6e4,mol_frchksnazzfgca-uhfffaoysa-n,CC(F)(Cl)Cl,CC(F)(Cl)Cl,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB040; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_6840da912a3a72c3,mol_bhnzezwiumjcgf-uhfffaoysa-n,CC(F)(F)Cl,CC(F)(F)Cl,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB041; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_dc4ae1e97a942a59,mol_wgzyqosevsxdni-uhfffaoysa-n,FCC(F)F,FCC(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB129; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_742d66a671219f01,mol_ujpmyeoubpiphq-uhfffaoysa-n,CC(F)(F)F,CC(F)(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB017; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_fce696b354cb49b4,mol_ahfmsndoycfeph-uhfffaoysa-n,FCCF,FCCF,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB096; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_1659e1fc485cd512,mol_npnpztnlovbdoc-uhfffaoysa-n,CC(F)F,CC(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB004; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_849ff07c9288156a,mol_uhcbbwuqdavsms-uhfffaoysa-n,CCF,CCF,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB099; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_a3ccf14e44424f89,mol_otmsdbzupauedd-uhfffaoysa-n,CC,CC,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB026; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_7649b87c3ddeb346,mol_umnkxpulidjlsu-uhfffaoysa-n,FC(Cl)Cl,FC(Cl)Cl,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB046; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_1690c1491e9c9662,mol_qysgyzvsczslht-uhfffaoysa-n,FC(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB053; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_0504dcb42f7d61fe,mol_vopwnxzwbydodv-uhfffaoysa-n,FC(F)Cl,FC(F)Cl,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB037; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_6c7effe7591df18d,mol_yfmfnykeudldtl-uhfffaoysa-n,FC(C(F)(F)F)C(F)(F)F,FC(C(F)(F)F)C(F)(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB018; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_641c52bd85906d04,mol_xpdwgbqvdmorpb-uhfffaoysa-n,FC(F)F,FC(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB015; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_be14bda3b9853c21,mol_fyirupztypildh-uhfffaoysa-n,FC(F)C(F)C(F)(F)F,FC(F)C(F)C(F)(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB020; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_05f130e0a65ce18c,mol_nsgxibwmjzwtpy-uhfffaoysa-n,FC(F)(F)CC(F)(F)F,FC(F)(F)CC(F)(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB021; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_353659ea2038ff9d,mol_awtofsdlnreifs-uhfffaoysa-n,FCC(F)(F)C(F)F,FCC(F)(F)C(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB022; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_4869cfa2de69d73e,mol_mssnhsvigihoja-uhfffaoysa-n,FC(F)CC(F)(F)F,FC(F)CC(F)(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB023; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_06e4e72d49c0c872,mol_rwriwbaiicgttq-uhfffaoysa-n,FCF,FCF,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB001; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_90d42e554321c3c5,mol_wzlfpvprzgtckp-uhfffaoysa-n,CC(F)(F)CC(F)(F)F,CC(F)(F)CC(F)(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB024; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_a5f1a85877a03bb6,mol_nehmkbqyuwjmip-uhfffaoysa-n,CCl,CCl,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB049; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_2b3b2eb4f83a9718,mol_nbvxsuqywxrmnv-uhfffaoysa-n,CF,CF,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB016; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_ab55ed2af0b7e18b,mol_vnwktokethgbqd-uhfffaoysa-n,C,C,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB050; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_59932a8c05cc7b53,mol_tzihfwkzfhzasv-uhfffaoysa-n,COC=O,COC=O,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB057; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_887fe8b2980a712d,mol_ufhflcqgniynrp-uhfffaoysa-n,[HH],[HH],psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB060; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_68d2bbb0eb5be7da,mol_swqjxjoglnczey-uhfffaoysa-n,[He],[He],psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB061; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_32f137de422f887e,mol_gkaogpiiycishv-uhfffaoysa-n,[Ne],[Ne],psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB063; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
